start	end	type	var
3	6	FLOWS_TO	
6	4	FLOWS_TO	
3	6	CONTROLS	
11	14	FLOWS_TO	
14	18	FLOWS_TO	
18	12	FLOWS_TO	
11	14	CONTROLS	
11	18	CONTROLS	
21	24	FLOWS_TO	
24	26	FLOWS_TO	
26	22	FLOWS_TO	
21	24	CONTROLS	
21	26	CONTROLS	
33	36	FLOWS_TO	
36	40	FLOWS_TO	
40	34	FLOWS_TO	
33	36	CONTROLS	
33	40	CONTROLS	
45	48	FLOWS_TO	
48	52	FLOWS_TO	
52	60	FLOWS_TO	
60	68	FLOWS_TO	
68	76	FLOWS_TO	
76	84	FLOWS_TO	
84	92	FLOWS_TO	
92	114	FLOWS_TO	
114	126	FLOWS_TO	
114	137	FLOWS_TO	
126	139	FLOWS_TO	
137	139	FLOWS_TO	
139	46	FLOWS_TO	
52	92	REACHES	A
60	92	REACHES	B
92	126	REACHES	hook
76	92	REACHES	D
84	92	REACHES	E
48	114	REACHES	pass
68	92	REACHES	X
45	48	CONTROLS	
45	52	CONTROLS	
45	60	CONTROLS	
45	68	CONTROLS	
45	76	CONTROLS	
45	84	CONTROLS	
45	92	CONTROLS	
45	114	CONTROLS	
45	139	CONTROLS	
114	126	CONTROLS	
114	137	CONTROLS	
143	146	FLOWS_TO	
146	147	FLOWS_TO	
147	151	FLOWS_TO	
151	156	FLOWS_TO	
151	166	FLOWS_TO	
156	172	FLOWS_TO	
166	172	FLOWS_TO	
172	184	FLOWS_TO	
172	220	FLOWS_TO	
184	194	FLOWS_TO	
184	211	FLOWS_TO	
194	184	FLOWS_TO	
211	261	FLOWS_TO	
220	227	FLOWS_TO	
227	237	FLOWS_TO	
237	252	FLOWS_TO	
252	255	FLOWS_TO	
255	261	FLOWS_TO	
261	144	FLOWS_TO	
227	237	REACHES	fp
227	255	REACHES	fp
237	252	REACHES	buffer
172	184	REACHES	handle
172	211	REACHES	handle
184	194	REACHES	filename
166	172	REACHES	fichero
156	172	REACHES	fichero
166	194	REACHES	fichero
156	194	REACHES	fichero
166	220	REACHES	fichero
156	220	REACHES	fichero
166	227	REACHES	fichero
156	227	REACHES	fichero
166	237	REACHES	fichero
156	237	REACHES	fichero
143	146	CONTROLS	
143	147	CONTROLS	
143	151	CONTROLS	
143	172	CONTROLS	
143	261	CONTROLS	
151	156	CONTROLS	
151	166	CONTROLS	
172	184	CONTROLS	
172	211	CONTROLS	
172	220	CONTROLS	
172	227	CONTROLS	
172	237	CONTROLS	
172	252	CONTROLS	
172	255	CONTROLS	
184	194	CONTROLS	
264	267	FLOWS_TO	
267	271	FLOWS_TO	
271	277	FLOWS_TO	
271	296	FLOWS_TO	
277	279	FLOWS_TO	
279	286	FLOWS_TO	
286	292	FLOWS_TO	
292	294	FLOWS_TO	
294	296	FLOWS_TO	
296	297	FLOWS_TO	
297	265	FLOWS_TO	
279	286	REACHES	cmd
264	267	CONTROLS	
264	271	CONTROLS	
264	296	CONTROLS	
264	297	CONTROLS	
271	277	CONTROLS	
271	279	CONTROLS	
271	286	CONTROLS	
271	292	CONTROLS	
271	294	CONTROLS	
301	304	FLOWS_TO	
304	305	FLOWS_TO	
305	309	FLOWS_TO	
309	320	FLOWS_TO	
309	346	FLOWS_TO	
320	334	FLOWS_TO	
334	348	FLOWS_TO	
346	348	FLOWS_TO	
348	349	FLOWS_TO	
349	302	FLOWS_TO	
301	304	CONTROLS	
301	305	CONTROLS	
301	309	CONTROLS	
301	348	CONTROLS	
301	349	CONTROLS	
309	320	CONTROLS	
309	334	CONTROLS	
309	346	CONTROLS	
353	356	FLOWS_TO	
356	357	FLOWS_TO	
357	361	FLOWS_TO	
361	366	FLOWS_TO	
361	374	FLOWS_TO	
366	374	FLOWS_TO	
374	375	FLOWS_TO	
375	354	FLOWS_TO	
353	356	CONTROLS	
353	357	CONTROLS	
353	361	CONTROLS	
353	374	CONTROLS	
353	375	CONTROLS	
361	366	CONTROLS	
380	383	FLOWS_TO	
383	391	FLOWS_TO	
391	398	FLOWS_TO	
391	400	FLOWS_TO	
398	400	FLOWS_TO	
400	402	FLOWS_TO	
402	404	FLOWS_TO	
404	412	FLOWS_TO	
412	419	FLOWS_TO	
419	431	FLOWS_TO	
431	439	FLOWS_TO	
431	381	FLOWS_TO	
439	443	FLOWS_TO	
443	451	FLOWS_TO	
451	459	FLOWS_TO	
459	466	FLOWS_TO	
466	472	FLOWS_TO	
472	381	FLOWS_TO	
404	412	REACHES	user_info
419	431	REACHES	user
