id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	Directory									"code"	
1	Filesystem	File									"index.php"	
2	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	1	"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/Zip-Traversal/index.php"	
3	Artificial	CFG_FUNC_ENTRY					2				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/Zip-Traversal/index.php"	
4	Artificial	CFG_FUNC_EXIT					2				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/Zip-Traversal/index.php"	
5	AST	AST_STMT_LIST		1		0	2		""			
6	AST	AST_ECHO		1		0	2		""			
7	AST	string		1	"hacked\n"	0	2		""			
8	Filesystem	Directory									"Zip-Traversal"	
9	Filesystem	File									"phpinfo.php"	
10	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	1	"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo.php"	
11	Artificial	CFG_FUNC_ENTRY					10				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo.php"	
12	Artificial	CFG_FUNC_EXIT					10				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo.php"	
13	AST	AST_STMT_LIST		1		0	10		""			
14	AST	AST_CALL		1		0	10		""			
15	AST	AST_NAME	NAME_NOT_FQ	1		0	10		""			
16	AST	string		1	"phpinfo"	0	10		""			
17	AST	AST_ARG_LIST		1		1	10		""			
18	AST	NULL		1		1	10		""			
19	Filesystem	File									"phpinfo-shortsyntax.php"	
20	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	3	"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo-shortsyntax.php"	
21	Artificial	CFG_FUNC_ENTRY					20				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo-shortsyntax.php"	
22	Artificial	CFG_FUNC_EXIT					20				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo-shortsyntax.php"	
23	AST	AST_STMT_LIST		1		0	20		""			
24	AST	AST_ECHO		1		0	20		""			
25	AST	string		1	"//tested on 7.2\n// even with short_open_tag=0\n"	0	20		""			
26	AST	AST_ECHO		3		1	20		""			
27	AST	AST_CALL		3		0	20		""			
28	AST	AST_NAME	NAME_NOT_FQ	3		0	20		""			
29	AST	string		3	"phpinfo"	0	20		""			
30	AST	AST_ARG_LIST		3		1	20		""			
31	Filesystem	File									"phpinfo.jpg.php"	
32	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	1	"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo.jpg.php"	
33	Artificial	CFG_FUNC_ENTRY					32				"/data/seongil/26529,danielmiessler,SecLists/code/Payloads/PHPInfo/phpinfo.jpg.php"	
